piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/23.mid,2.1462,2.9335,0.6726,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/230.mid,1.6737,2.3363,0.6236,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/231.mid,2.0441,2.3083,0.8125,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/232.mid,1.756,2.9752,0.6402,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/233.mid,2.2701,2.7119,0.6014,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/234.mid,2.1933,2.8798,0.7279,0.9231
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/235.mid,1.7128,2.5329,0.5769,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/236.mid,1.9729,2.878,0.6197,0.9545
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/237.mid,1.968,2.7499,0.6556,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/238.mid,1.9816,2.4014,0.7208,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/239.mid,2.3804,2.9528,0.58,0.9677
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/24.mid,2.2886,2.9094,0.8229,0.8857
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/240.mid,2.6848,3.1488,0.4863,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/241.mid,1.6009,2.5875,0.6875,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/242.mid,1.9112,2.6722,0.6569,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/243.mid,2.0629,2.7235,0.6964,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/244.mid,1.7091,2.5087,0.8125,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/245.mid,1.868,2.8406,0.6265,0.8333
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/246.mid,2.0568,3.2741,0.575,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/247.mid,1.973,2.8602,0.6924,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/248.mid,1.7306,2.6826,0.5833,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/25.mid,1.8688,2.7222,0.5504,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/250.mid,2.2628,2.6146,0.5104,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/251.mid,1.8877,2.8544,0.632,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/252.mid,2.2677,3.0115,0.5965,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/253.mid,2.2587,2.669,0.675,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/254.mid,2.2189,2.7566,0.6854,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/255.mid,1.4125,2.3794,0.6702,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/257.mid,2.1614,2.6175,0.8137,0.9444
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/258.mid,2.6522,3.2472,0.5,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/259.mid,2.0679,2.76,0.7578,0.9474
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/26.mid,1.2201,2.6782,0.7125,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/260.mid,2.0411,2.8036,0.825,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/261.mid,2.3686,2.8053,0.5625,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/263.mid,2.0794,2.7921,0.6347,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/264.mid,1.9251,2.5623,0.8362,0.9
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/265.mid,1.9445,2.4967,0.6726,1.0
